,1,2,3,4',5,6,4
$\alpha$,0.1,0.220480952394914,0.9,,1.0,0.22784810126582278,1.0
$\beta$,,,,,0.44016799047678506,0.21518987341772153,0.4720194290146541
$\phi$,,,,,0.9790252369218813,,
$l_0$,3.138116232498093,1.9693619592646825,3.6117164813621407,,712.6660232117013,682.5022513247164,703.110383647278
$b_0$,,,,,1.1179299923421937,1.1036677253585618,76.88741885603635
SSE,4740.57364734192,4521.895698836732,7252.987981283069,,505709.7389765518,7674831.333196614,491126.38462508767
